step,train,val,lr,elapsed_sec
1260,2.681022,2.715357,1.89000000e-04,181.7
1270,2.676114,2.810530,1.90500000e-04,183.0
1280,2.739481,2.691337,1.92000000e-04,184.4
1290,2.734704,2.647317,1.93500000e-04,185.8
1300,2.803887,2.739638,1.95000000e-04,187.2
1310,2.618707,2.678803,1.96500000e-04,188.6
1320,2.761432,2.726729,1.98000000e-04,190.0
1330,2.714213,2.643342,1.99500000e-04,191.4
1340,2.654022,2.713149,2.01000000e-04,192.8
1350,2.748770,2.728816,2.02500000e-04,194.2
1360,2.754489,2.847800,2.04000000e-04,195.6
1370,2.682604,2.724380,2.05500000e-04,197.0
1380,2.725304,2.666757,2.07000000e-04,198.4
1390,2.672761,2.545065,2.08500000e-04,199.7
1400,2.608397,2.651478,2.10000000e-04,201.1
1410,2.648607,2.654567,2.11500000e-04,202.4
1420,2.743997,2.599399,2.13000000e-04,203.8
1430,2.712429,2.556473,2.14500000e-04,205.1
1440,2.666412,2.486122,2.16000000e-04,206.5
1450,2.676910,2.675363,2.17500000e-04,207.8
1460,2.692118,2.616714,2.19000000e-04,209.2
1470,2.658362,2.659210,2.20500000e-04,210.6
1480,2.527371,2.668440,2.22000000e-04,212.0
1490,2.590700,2.673375,2.23500000e-04,213.4
1500,2.685002,2.598813,2.25000000e-04,214.7
1510,2.529827,2.441770,2.26500000e-04,216.7
1520,2.586396,2.488364,2.28000000e-04,218.3
1530,2.622401,2.488027,2.29500000e-04,219.8
1540,2.625955,2.601806,2.31000000e-04,221.3
1550,2.515756,2.585332,2.32500000e-04,222.7
1560,2.518679,2.764034,2.34000000e-04,224.2
1570,2.532334,2.469700,2.35500000e-04,225.6
1580,2.572763,2.543418,2.37000000e-04,227.0
1590,2.477869,2.582519,2.38500000e-04,228.4
1600,2.673727,2.769052,2.40000000e-04,229.7
1610,2.472002,2.451548,2.41500000e-04,231.1
1620,2.631892,2.616568,2.43000000e-04,232.4
1630,2.478960,2.617064,2.44500000e-04,233.7
1640,2.494269,2.581961,2.46000000e-04,235.0
1650,2.528122,2.542691,2.47500000e-04,236.2
1660,2.609818,2.527557,2.49000000e-04,237.5
1670,2.571428,2.656788,2.50500000e-04,238.7
1680,2.513561,2.548939,2.52000000e-04,240.0
1690,2.496919,2.615475,2.53500000e-04,241.3
1700,2.526628,2.580678,2.55000000e-04,242.6
1710,2.549804,2.441179,2.56500000e-04,244.0
1720,2.518481,2.644105,2.58000000e-04,245.3
1730,2.596369,2.498258,2.59500000e-04,246.6
1740,2.503162,2.416228,2.61000000e-04,248.0
1750,2.383478,2.454573,2.62500000e-04,249.4
1760,2.609809,2.458595,2.64000000e-04,250.8
1770,2.475173,2.495307,2.65500000e-04,252.1
1780,2.494565,2.497851,2.67000000e-04,253.5
1790,2.430772,2.478378,2.68500000e-04,254.8
1800,2.379228,2.444077,2.70000000e-04,256.1
1810,2.461349,2.479033,2.71500000e-04,257.4
1820,2.474664,2.283300,2.73000000e-04,258.7
1830,2.419257,2.284405,2.74500000e-04,260.0
1840,2.642046,2.317042,2.76000000e-04,261.2
1850,2.437066,2.646064,2.77500000e-04,262.5
1860,2.517506,2.611864,2.79000000e-04,263.8
1870,2.432636,2.470294,2.80500000e-04,265.1
1880,2.422197,2.433255,2.82000000e-04,266.4
1890,2.397063,2.460906,2.83500000e-04,267.8
1900,2.413949,2.529478,2.85000000e-04,269.0
1910,2.374318,2.368384,2.86500000e-04,270.3
1920,2.326139,2.470114,2.88000000e-04,271.5
1930,2.392656,2.405283,2.89500000e-04,272.7
1940,2.322098,2.441616,2.91000000e-04,273.9
1950,2.475407,2.440312,2.92500000e-04,275.0
1960,2.377322,2.465781,2.94000000e-04,276.2
1970,2.431846,2.395452,2.95500000e-04,277.3
1980,2.411820,2.530687,2.97000000e-04,278.5
1990,2.419119,2.472615,2.98500000e-04,279.6
2000,2.329428,2.326885,3.00000000e-04,280.8
2010,2.441828,2.483180,2.99999998e-04,282.7
2020,2.325263,2.344608,2.99999991e-04,284.2
2030,2.481224,2.348691,2.99999979e-04,285.6
2040,2.236784,2.441094,2.99999962e-04,286.9
2050,2.329338,2.366108,2.99999941e-04,288.3
2060,2.419894,2.460136,2.99999915e-04,289.9
2070,2.372004,2.321793,2.99999884e-04,291.4
2080,2.273048,2.380320,2.99999849e-04,292.9
2090,2.345245,2.417727,2.99999809e-04,294.3
2100,2.447753,2.564471,2.99999764e-04,295.6
2110,2.397571,2.540330,2.99999714e-04,296.9
2120,2.342870,2.415648,2.99999660e-04,298.2
2130,2.343303,2.370178,2.99999601e-04,299.4
2140,2.315279,2.410552,2.99999537e-04,300.7
2150,2.293624,2.506492,2.99999469e-04,301.9
2160,2.278102,2.453904,2.99999396e-04,303.1
2170,2.236526,2.368979,2.99999318e-04,304.3
2180,2.447293,2.375619,2.99999235e-04,305.4
2190,2.272047,2.387138,2.99999148e-04,306.6
2200,2.298313,2.245643,2.99999056e-04,307.8
2210,2.303543,2.333874,2.99998959e-04,309.0
2220,2.331695,2.380097,2.99998858e-04,310.2
2230,2.334805,2.313657,2.99998751e-04,311.3
2240,2.327879,2.374313,2.99998640e-04,312.6
2250,2.323944,2.228786,2.99998525e-04,313.8
2260,2.446821,2.265334,2.99998404e-04,315.0
2270,2.419177,2.350560,2.99998279e-04,316.3
2280,2.461753,2.450675,2.99998149e-04,317.5
2290,2.208492,2.245242,2.99998015e-04,318.7
2300,2.463157,2.271836,2.99997876e-04,319.9
2310,2.293809,2.385390,2.99997732e-04,321.1
2320,2.159137,2.246552,2.99997583e-04,322.3
2330,2.232606,2.338121,2.99997430e-04,323.4
2340,2.321627,2.378740,2.99997271e-04,324.6
2350,2.349675,2.209472,2.99997109e-04,325.9
2360,2.314442,2.290679,2.99996941e-04,327.1
2370,2.175776,2.310803,2.99996769e-04,328.3
2380,2.297026,2.285685,2.99996592e-04,329.6
2390,2.304953,2.215221,2.99996410e-04,330.9
2400,2.294712,2.329226,2.99996223e-04,332.2
2410,2.257292,2.221713,2.99996032e-04,333.5
2420,2.316041,2.155154,2.99995836e-04,334.8
2430,2.189854,2.199318,2.99995636e-04,336.0
2440,2.265018,2.330660,2.99995430e-04,337.4
2450,2.246695,2.177687,2.99995220e-04,338.7
2460,2.206711,2.140907,2.99995005e-04,340.1
2470,2.212680,2.239408,2.99994786e-04,341.4
2480,2.273772,2.181300,2.99994562e-04,342.6
2490,2.241029,2.326191,2.99994333e-04,343.9
2500,2.235302,2.388793,2.99994099e-04,345.1
2510,2.433293,2.119110,2.99993861e-04,347.1
2520,2.215127,2.214478,2.99993618e-04,348.6
2530,2.281018,2.225532,2.99993370e-04,350.1
2540,2.266865,2.345428,2.99993117e-04,351.5
2550,2.177952,2.220697,2.99992860e-04,352.9
2560,2.235413,2.331489,2.99992598e-04,354.3
2570,2.169012,2.241428,2.99992331e-04,355.7
2580,2.354925,2.286681,2.99992060e-04,357.0
2590,2.148572,2.230077,2.99991784e-04,358.3
2600,2.424841,2.191866,2.99991503e-04,359.6
2610,2.200863,2.134780,2.99991217e-04,360.9
2620,2.070194,2.215509,2.99990927e-04,362.2
2630,2.230428,2.185129,2.99990632e-04,363.6
2640,2.176200,2.271673,2.99990332e-04,364.9
2650,2.166697,2.242618,2.99990027e-04,366.2
2660,2.117869,2.200929,2.99989718e-04,367.5
2670,2.204732,2.326010,2.99989404e-04,368.8
2680,2.156388,2.185888,2.99989086e-04,370.1
2690,2.100670,2.191754,2.99988762e-04,371.5
2700,2.306551,2.185700,2.99988434e-04,372.8
2710,2.188709,2.198819,2.99988101e-04,374.2
2720,2.258337,2.166764,2.99987764e-04,375.5
2730,2.179700,2.158458,2.99987422e-04,376.9
2740,2.262086,2.204098,2.99987075e-04,378.3
2750,2.122910,2.157849,2.99986723e-04,379.7
2760,2.190902,2.186209,2.99986367e-04,381.1
2770,2.149730,2.066154,2.99986005e-04,382.5
2780,2.178591,2.216946,2.99985640e-04,383.9
2790,2.160865,2.153501,2.99985269e-04,385.3
2800,2.198646,2.240113,2.99984894e-04,386.7
2810,2.180287,2.113406,2.99984514e-04,388.1
2820,2.071738,2.170422,2.99984129e-04,389.5
2830,2.156601,2.087582,2.99983740e-04,390.8
2840,2.185734,2.170403,2.99983345e-04,392.2
2850,2.317186,2.214724,2.99982946e-04,393.6
2860,2.105813,2.121538,2.99982543e-04,395.0
2870,2.257567,2.124643,2.99982135e-04,396.4
2880,2.117599,2.156047,2.99981722e-04,397.8
2890,2.045307,2.132716,2.99981304e-04,399.2
2900,2.278618,2.218069,2.99980881e-04,400.5
2910,2.269226,2.273685,2.99980454e-04,401.8
2920,2.098855,2.200538,2.99980022e-04,403.1
2930,2.119331,2.173505,2.99979585e-04,404.4
2940,2.072470,2.127504,2.99979144e-04,405.7
2950,2.042673,2.052529,2.99978698e-04,407.0
2960,2.173143,2.095150,2.99978247e-04,408.2
2970,1.984595,2.372663,2.99977792e-04,409.5
2980,2.082778,2.104610,2.99977331e-04,410.8
2990,2.102207,2.103554,2.99976866e-04,412.1
3000,2.241479,2.136819,2.99976397e-04,413.4
3010,2.070768,2.176185,2.99975922e-04,415.3
3020,2.007699,2.066609,2.99975443e-04,416.8
3030,2.112810,2.058022,2.99974959e-04,418.2
3040,2.062801,2.090310,2.99974471e-04,419.6
3050,2.138760,2.143945,2.99973977e-04,420.9
3060,2.250459,2.219247,2.99973479e-04,422.1
3070,2.123821,2.073709,2.99972977e-04,423.3
3080,2.161824,2.119750,2.99972469e-04,424.5
3090,2.099402,1.959506,2.99971957e-04,425.7
3100,2.103966,2.132284,2.99971440e-04,426.9
3110,2.150515,2.080883,2.99970919e-04,428.1
3120,1.993982,2.122198,2.99970392e-04,429.2
3130,2.179986,2.158486,2.99969861e-04,430.4
3140,2.060534,2.075276,2.99969325e-04,431.5
3150,2.065634,2.212182,2.99968785e-04,432.7
3160,2.041414,2.155369,2.99968240e-04,433.8
3170,2.155191,2.107647,2.99967690e-04,435.0
3180,2.095166,2.157470,2.99967135e-04,436.1
3190,2.000592,2.188210,2.99966576e-04,437.3
3200,2.008551,2.058732,2.99966012e-04,438.4
3210,2.127112,1.976742,2.99965443e-04,439.6
3220,2.072696,2.013056,2.99964869e-04,440.7
3230,1.992170,2.007885,2.99964291e-04,441.9
3240,2.072758,2.057122,2.99963708e-04,443.1
3250,1.988929,2.134086,2.99963120e-04,444.2
3260,2.028382,2.060782,2.99962528e-04,445.3
3270,2.059666,2.101055,2.99961931e-04,446.5
3280,2.039047,2.019711,2.99961329e-04,447.6
3290,2.188689,2.046454,2.99960723e-04,448.8
3300,2.030005,1.962713,2.99960111e-04,449.9
3310,2.178461,2.021534,2.99959495e-04,451.1
3320,2.090902,2.161927,2.99958875e-04,452.3
3330,2.115941,2.067312,2.99958249e-04,453.4
3340,2.089450,2.094860,2.99957619e-04,454.6
3350,2.093897,2.133299,2.99956984e-04,455.7
3360,1.972903,2.045001,2.99956344e-04,456.8
3370,2.023401,2.010982,2.99955700e-04,458.0
